0.000000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.704367120753797100e-04,5.849747768668879244e-01,-2.059660685913237810e+00,1.487206061857261341e+00,-2.581372512175307988e-04,-5.461128343436380056e-07
0.010000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.799479899762975982e-02,6.184981442714484468e-01,-2.050884098495557417e+00,1.433904520970453289e+00,3.327481251499522785e-02,-1.493918573495293901e-04
0.020000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.289062417758363333e-02,6.578080527082234008e-01,-2.025163752428513764e+00,1.368281342663682842e+00,8.314149393006430022e-02,-1.001365239071670709e-04
0.030000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.661645069557382282e-01,7.053622755745309059e-01,-2.011666938311928998e+00,1.306939855403787654e+00,1.513751191344241409e-01,-1.108539504369840969e-04
0.040000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.591330092956516951e-01,7.597169727558821251e-01,-2.016635645117945685e+00,1.257093146392650018e+00,2.405642716954347338e-01,-6.804263260422498192e-05
0.050000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.987684075756749991e-01,8.225156824207648931e-01,-2.047385954847420031e+00,1.224256281122775070e+00,3.756741209350498711e-01,2.102072441473540419e-04
0.060000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.543463047583122583e-01,8.813181102766792785e-01,-2.097016087302227660e+00,1.214579597146920875e+00,5.264928077065785805e-01,5.715040894431579806e-04
0.070000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.557694423932078687e-01,9.383587260144128361e-01,-2.171312507060788377e+00,1.231444629769151033e+00,7.231213400062211916e-01,1.040344842646134414e-03
0.080000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.573393963059313450e-01,9.877353444999010801e-01,-2.258055411030622572e+00,1.267579941301224311e+00,9.197607830525944550e-01,2.243578289751893030e-03
0.090000,0.000000000000000000e+00,0.000000000000000000e+00,2.000001020021791032e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.122716954629066510e+00,1.026052605585099142e+00,-2.341721057745927315e+00,1.308695510748203006e+00,1.079934939222464862e+00,6.215706098813991373e-03
