time,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,joint1,joint2,joint3,joint4,joint5,joint6
0.0,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.04216443005720011,-0.047836031597903436,0.005213552158966376,0.0,0.0
0.02,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.0687031174977305,-0.08139266529699828,0.012010208648577691,0.0,0.0
0.03,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.1059819324646164,-0.13718679985187854,0.030477066393884276,0.0,0.0
0.04,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.12903667269481045,-0.17345967493743278,0.043484046115784276,0.0,0.0
0.05,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.16254458325228585,-0.23238379816636076,0.06892658533700441,0.0,0.0
0.06,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.18388474117815293,-0.2701713923633641,0.08515129833047398,0.0,0.0
0.07,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.2157746074417447,-0.3310710664096346,0.11422562633592986,0.0,0.0
0.08,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.2362833978819597,-0.3700053560702191,0.1324152061485142,0.0,0.0
0.09,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.26750290084859835,-0.4325762799332881,0.16385365708423394,0.0,0.0
0.1,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.2876399327558912,-0.4725617483905814,0.18345355113403256,0.0,0.0
0.11,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.3186260496297335,-0.5367600287186738,0.21679666553628024,0.0,0.0
0.12,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.33861790908880546,-0.5777917413691452,0.23759960162764424,0.0,0.0
0.13,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.36977456131925335,-0.6437743012725896,0.2725783577055972,0.0,0.0
0.14,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.3960730873961705,-0.6997836879682455,0.30233896290566925,0.0,0.0
0.15,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.4159577663204733,-0.741760627706777,0.3241249230508409,0.0,0.0
0.16,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.4477522473970083,-0.8105503504521012,0.36125380145188046,0.0,0.0
0.17,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.47484261249914766,-0.8694248919653225,0.3930865775908486,0.0,0.0
0.18,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.4953313489985445,-0.9136272630548459,0.41646600725298294,0.0,0.0
0.19,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.5284727288871421,-0.986512411733614,0.4563543901511715,0.0,0.0
0.2,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.5568746589024637,-1.0491929437097687,0.4906855349613128,0.0,0.0
